,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol,date
0,1479340800,739.1,746.0,736.6,746.0,581.41,431297.97,force_direct,,2016-11-17
1,1479427200,752.23,752.3,745.0,752.29,615.45,460986.29,force_direct,,2016-11-18
2,1479513600,751.99,763.11,749.8,749.8,371.27,279855.53,force_direct,,2016-11-19
3,1479600000,729.68,734.0,713.0,730.0,594.63,431253.21,force_direct,,2016-11-20
4,1479686400,738.0,741.0,728.33,729.68,545.09,401128.85,force_direct,,2016-11-21
5,1479772800,749.76,752.61,733.83,734.96,1591.29,1185463.97,force_direct,,2016-11-22
6,1479859200,741.98,750.0,731.06,747.57,1174.04,869355.63,force_direct,,2016-11-23
7,1479945600,738.44,742.78,730.0,739.4,722.51,531624.59,force_direct,,2016-11-24
8,1480032000,742.14,743.0,730.35,736.75,760.85,561036.99,force_direct,,2016-11-25
9,1480118400,733.17,737.91,726.0,732.91,504.31,368986.41,force_direct,,2016-11-26
10,1480204800,729.93,739.0,727.2,733.17,637.79,467340.16,force_direct,,2016-11-27
11,1480291200,734.17,735.78,730.41,733.84,89.7,65785.28,force_direct,,2016-11-28
12,1480377600,732.0,732.99,731.0,731.37,17.61,12888.38,force_direct,,2016-11-29
13,1480464000,742.4,743.56,731.02,732.0,1169.44,864505.06,force_direct,,2016-11-30
14,1480550400,752.49,754.5,745.5,747.24,1019.35,764943.31,force_direct,,2016-12-01
15,1480636800,773.5,776.0,771.09,774.0,282.05,218207.81,force_direct,,2016-12-02
16,1480723200,764.75,773.51,757.12,773.5,667.69,512321.9,force_direct,,2016-12-03
17,1480809600,769.0,772.57,763.9,767.08,326.66,250801.52,force_direct,,2016-12-04
18,1480896000,752.08,757.96,748.09,751.69,698.9,527301.98,force_direct,,2016-12-05
19,1480982400,758.38,760.0,753.03,757.64,567.64,430230.58,force_direct,,2016-12-06
20,1481068800,765.01,770.0,762.03,766.5,320.11,245628.55,force_direct,,2016-12-07
21,1481155200,768.29,779.5,762.0,765.01,801.56,617438.29,force_direct,,2016-12-08
22,1481241600,771.67,775.0,767.08,768.44,741.96,573153.55,force_direct,,2016-12-09
23,1481328000,775.0,778.56,771.24,771.67,694.86,538547.72,force_direct,,2016-12-10
24,1481414400,771.68,771.87,762.02,769.02,595.64,456985.84,force_direct,,2016-12-11
25,1481500800,778.07,783.26,775.58,782.88,334.09,260370.97,force_direct,,2016-12-12
26,1481587200,778.72,783.55,778.0,783.15,47.11,36818.21,force_direct,,2016-12-13
27,1481673600,777.56,783.09,774.0,778.72,912.35,711122.98,force_direct,,2016-12-14
28,1481760000,778.11,779.0,778.1,779.0,61.84,48160.77,force_direct,,2016-12-15
29,1481846400,785.41,785.98,783.5,783.99,133.37,104670.28,force_direct,,2016-12-16
30,1481932800,792.97,795.0,785.33,785.41,628.42,497252.57,force_direct,,2016-12-17
31,1482019200,794.21,794.21,787.53,789.75,104.41,82571.07,force_direct,,2016-12-18
32,1482105600,792.54,794.44,790.5,794.21,652.2,516552.62,force_direct,,2016-12-19
33,1482192000,801.25,806.0,801.25,803.0,114.47,92026.46,force_direct,,2016-12-20
34,1482278400,830.0,830.0,821.6,824.0,578.1,477146.75,force_direct,,2016-12-21
35,1482364800,860.0,865.43,855.52,861.46,156.17,134341.52,force_direct,,2016-12-22
36,1482451200,918.19,922.93,893.01,897.96,627.96,572215.29,force_direct,,2016-12-23
37,1482537600,895.47,904.99,884.33,903.38,703.19,628984.19,force_direct,,2016-12-24
38,1482624000,896.8,900.34,853.37,868.4,902.81,789799.36,force_direct,,2016-12-25
39,1482710400,901.5,908.99,899.19,908.32,226.2,204410.32,force_direct,,2016-12-26
40,1482796800,933.0,938.0,929.01,936.49,630.31,589303.24,force_direct,,2016-12-27
41,1482883200,978.0,979.9,977.0,978.0,41.78,40859.66,force_direct,,2016-12-28
42,1482969600,974.32,978.57,950.0,970.85,818.48,788737.32,force_direct,,2016-12-29
43,1483056000,960.77,965.7,920.02,945.0,1286.49,1223300.14,force_direct,,2016-12-30
44,1483142400,967.45,971.73,940.01,953.61,691.68,662547.65,force_direct,,2016-12-31
45,1483228800,996.12,1005.07,995.79,1001.32,90.43,90445.22,force_direct,,2017-01-01
46,1483315200,1017.79,1026.5,998.0,1022.0,909.37,923447.64,force_direct,,2017-01-02
47,1483401600,1038.25,1039.84,1021.76,1024.91,454.2,467476.28,force_direct,,2017-01-03
48,1483488000,1133.22,1150.0,1110.24,1112.9,552.63,625798.24,force_direct,,2017-01-04
49,1483574400,1005.99,1024.97,953.1,970.0,1527.64,1502902.76,force_direct,,2017-01-05
50,1483660800,895.72,905.5,877.55,890.0,625.01,556781.87,force_direct,,2017-01-06
51,1483747200,908.0,912.67,876.46,893.47,777.38,693530.63,force_direct,,2017-01-07
52,1483833600,916.94,921.0,901.94,916.56,127.47,116379.24,force_direct,,2017-01-08
53,1483920000,905.01,909.99,896.03,897.68,148.52,133993.55,force_direct,,2017-01-09
54,1484006400,909.52,916.69,898.1,905.01,1198.2,1089255.79,force_direct,,2017-01-10
55,1484092800,789.88,812.89,765.43,774.89,2037.18,1611801.55,force_direct,,2017-01-11
56,1484179200,807.79,838.0,798.34,810.85,1480.48,1215787.39,force_direct,,2017-01-12
57,1484265600,832.9,838.95,824.0,828.09,522.29,434720.73,force_direct,,2017-01-13
58,1484352000,818.65,846.95,811.0,837.98,1033.42,858125.52,force_direct,,2017-01-14
59,1484438400,827.14,833.0,811.93,820.0,1067.31,875660.73,force_direct,,2017-01-15
60,1484524800,832.81,840.0,822.21,837.06,1121.88,934709.97,force_direct,,2017-01-16
61,1484611200,906.39,914.88,896.84,898.0,455.57,412562.1,force_direct,,2017-01-17
62,1484697600,892.31,898.25,871.59,875.0,333.25,294384.49,force_direct,,2017-01-18
63,1484784000,900.11,909.0,890.02,904.1,985.24,887901.84,force_direct,,2017-01-19
64,1484870400,898.62,906.15,893.0,905.85,344.38,310129.05,force_direct,,2017-01-20
65,1484956800,925.3,926.9,915.0,925.0,576.0,531551.37,force_direct,,2017-01-21
66,1485043200,925.01,925.01,888.0,907.04,654.95,597575.56,force_direct,,2017-01-22
67,1485129600,917.97,925.83,917.97,923.02,250.68,231428.42,force_direct,,2017-01-23
68,1485216000,887.99,912.0,882.58,908.01,1890.3,1697278.77,force_direct,,2017-01-24
69,1485302400,896.89,903.33,888.0,895.48,1005.89,900061.24,force_direct,,2017-01-25
70,1485388800,914.93,919.74,910.5,917.5,371.52,340353.34,force_direct,,2017-01-26
